"seccion_censal","nac_87","nac_88","nac_89","nac_90","nac_91","nac_92","nac_93","nac_94","nac_95","nac_96","nac_97","nac_98","nac_99","nac_00","nac_01","nac_02","nac_03","nac_04","nac_05","nac_06","nac_07","nac_08","nac_09","nac_10","nac_11","nac_12","nac_13","nac_14","nac_15","nac_16","nac_17"
"76001100000000171302","1","1","1","3","5","0","0","1","0","0","1","2","1","3","1","2","1","1","0","0","0","0","2","1","2","0","0","1","1","0","1"
"76001100000000170503","1","1","2","2","0","0","0","1","1","1","2","1","3","1","1","1","2","0","0","1","2","1","0","0","0","0","1","1","1","1","1"
"76001100000000051002","1","2","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"76001100000000021202","1","2","1","1","0","1","0","0","2","1","1","1","0","2","0","1","3","0","1","0","0","1","0","3","0","0","0","1","0","0","0"
"76001100000000194101","1","2","3","5","2","7","4","7","3","2","3","2","1","2","4","3","2","1","0","1","0","4","1","2","1","3","0","1","1","0","0"
"76001100000000021703","1","2","4","5","6","4","7","1","0","2","11","1","0","1","3","0","3","0","1","0","2","3","1","1","1","2","2","1","1","1","2"
"76001100000000170802","1","5","3","1","3","4","2","3","5","3","1","2","2","2","3","3","1","1","0","3","2","2","0","1","1","3","3","1","0","0","1"
"76001100000000050502","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"76001100000000050603","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"76001100000000021704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"76001100000000021601","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"76001100000000022301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000030701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0"
"76001100000000050902","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000051001","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"76001100000000031703","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000050506","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","1"
"76001100000000100302","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
